,probs_acf,probs_roc,probs_bl,priv_group_col,actuals
0,0.6516384351058873,0.628099731743778,0.628099731743778,1,1
1,0.2798170080756289,0.3096724985073244,0.3096724985073244,0,0
2,0.6142651798808694,0.4265616739014124,0.5734383260985876,1,1
3,0.2901788292660803,0.3429763219592586,0.3429763219592586,1,1
4,0.4272917708477119,0.547136271660416,0.45286372833958405,1,0
5,0.35766141386162525,0.5921010011177927,0.4078989988822073,1,1
6,0.5034043074153427,0.4886604140850266,0.5113395859149734,1,1
7,0.3483051375022036,0.3616514550365373,0.3616514550365373,1,1
8,0.6144980632289214,0.4181899672126369,0.5818100327873631,1,1
9,0.3906725237811185,0.5781030069147608,0.4218969930852392,1,0
10,0.5501193373625074,0.5195095847101221,0.48049041528987785,1,0
11,0.26224242690231114,0.30588644015598637,0.30588644015598637,0,0
12,0.6007401250051284,0.49939019242364835,0.5006098075763517,0,1
13,0.4741771358578168,0.5052377595732743,0.4947622404267257,1,0
14,0.5359149641440131,0.5061446999643093,0.4938553000356906,1,1
15,0.47137767501207745,0.5431749995476054,0.4568250004523946,1,0
16,0.5212498633896303,0.4514990162306569,0.5485009837693431,1,1
17,0.3784514816380856,0.5915265134491274,0.40847348655087257,1,1
18,0.3616877740801216,0.3953711552971605,0.3953711552971605,1,0
19,0.5095443299305285,0.4958841878032584,0.5041158121967416,1,1
20,0.6197193144471047,0.617706520019473,0.617706520019473,1,1
21,0.620551234966555,0.43739452143112456,0.5626054785688754,1,1
22,0.5895874532007194,0.47184206016381514,0.5281579398361849,1,1
23,0.5915611434374396,0.4381043910734428,0.5618956089265572,1,1
24,0.6402817915825673,0.4298154703627105,0.5701845296372895,1,1
25,0.6291484988794397,0.46361066510189897,0.536389334898101,1,1
26,0.6474759814965484,0.6146687274548633,0.6146687274548633,1,1
27,0.5983756877460085,0.44944646445319125,0.5505535355468087,1,1
28,0.6119643791009151,0.4450560199696454,0.5549439800303546,1,1
29,0.19797527169235746,0.28425574017573213,0.28425574017573213,1,0
30,0.532646358268576,0.496447279908678,0.503552720091322,1,1
31,0.44912152909879083,0.5747224753270571,0.4252775246729429,1,1
