,probs,priv_group_col,actuals
0,0.9394362500915103,1.0,1.0
1,0.337017768759255,0.0,0.0
2,0.9679190194943781,1.0,1.0
3,0.6928436132448762,1.0,1.0
4,0.2571149561225637,1.0,0.0
5,0.7930322815914128,1.0,1.0
6,0.9032971760295774,1.0,1.0
7,0.6617796319937392,1.0,1.0
8,0.9825502565167166,1.0,1.0
9,0.4500943445478846,1.0,0.0
10,0.3251514571274937,1.0,0.0
11,0.12337535795621656,0.0,0.0
12,0.7104364457632406,0.0,1.0
13,0.5423102177306336,1.0,0.0
14,0.3571205645329455,1.0,1.0
15,0.4918687664751004,1.0,0.0
16,0.9602436140163285,1.0,1.0
17,0.25998182022884764,1.0,1.0
18,0.42349997910518655,1.0,0.0
19,0.9153867321778516,1.0,1.0
20,0.8727316518390483,1.0,1.0
21,0.7940343583033208,1.0,1.0
22,0.7324046039701171,1.0,1.0
23,0.9278804718424633,1.0,1.0
24,0.9801760366734166,1.0,1.0
25,0.7779153858793484,1.0,1.0
26,0.8642139448268548,1.0,1.0
27,0.787780518057625,1.0,1.0
28,0.8719393624531948,1.0,1.0
29,0.20520146345291507,1.0,0.0
30,0.7599477172409601,1.0,1.0
31,0.4208216926738164,1.0,1.0
32,0.5370806206710518,1.0,1.0
33,0.9503603756539065,1.0,1.0
34,0.5893817044889937,1.0,1.0
35,0.5224061005753246,1.0,0.0
36,0.6886828244691304,1.0,1.0
37,0.6226094758604241,1.0,0.0
38,0.8551308148932693,1.0,1.0
39,0.6985206175479751,0.0,1.0
40,0.7969426900382922,1.0,1.0
41,0.8322873809228971,1.0,1.0
42,0.7138656108703092,1.0,1.0
43,0.8499842112703505,0.0,1.0
44,0.3258074742232638,1.0,0.0
45,0.7969004642966574,1.0,1.0
46,0.8555095257278083,1.0,1.0
47,0.8363819014181764,0.0,1.0
48,0.8927285762337427,1.0,1.0
49,0.8442258178267573,1.0,1.0
50,0.6422444102665738,1.0,1.0
51,0.8277627220912196,1.0,1.0
52,0.8957675170666143,1.0,1.0
